transaction_id,data_hora,ativo,quantidade,tipo_operacao,moeda,cliente_id,canal,mercado,arquivo_origem,importado_em
BTCX-00000121,2024-01-11 13:49:00+00:00,BTC,0.24,COMPRA,USD,C009,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.737880+00:00
BTCX-00000122,2024-01-11 20:45:00+00:00,BTC,0.08,COMPRA,USD,C004,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.737939+00:00
BTCX-00000123,2024-01-11 18:01:00+00:00,BTC,0.2,VENDA,USD,C009,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.737999+00:00
BTCX-00000124,2024-01-11 12:04:00+00:00,BTC,0.38,COMPRA,USD,C002,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.738065+00:00
BTCX-00000125,2024-01-11 13:54:00+00:00,BTC,0.44,COMPRA,USD,C001,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.738123+00:00
BTCX-00000126,2024-01-11 14:34:00+00:00,BTC,0.28,VENDA,USD,C006,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.738180+00:00
BTCX-00000127,2024-01-11 19:21:00+00:00,BTC,0.01,VENDA,USD,C002,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.738237+00:00
BTCX-00000128,2024-01-11 15:23:00+00:00,BTC,0.41,VENDA,USD,C010,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.738293+00:00
BTCX-00000129,2024-01-12 11:46:00+00:00,BTC,0.34,VENDA,USD,C009,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.738361+00:00
BTCX-00000130,2024-01-12 16:29:00+00:00,BTC,0.28,VENDA,USD,C002,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.738420+00:00
BTCX-00000131,2024-01-12 10:17:00+00:00,BTC,0.29,COMPRA,USD,C009,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.738476+00:00
BTCX-00000132,2024-01-12 18:42:00+00:00,BTC,0.25,VENDA,USD,C007,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.738532+00:00
BTCX-00000133,2024-01-12 14:11:00+00:00,BTC,0.32,COMPRA,USD,C005,DISTRIB,US,btc_planilha.xlsx,2025-08-13 20:41:28.738588+00:00
BTCX-00000134,2024-01-12 14:17:00+00:00,BTC,0.39,VENDA,USD,C005,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.738643+00:00
BTCX-00000135,2024-01-12 17:12:00+00:00,BTC,0.06,COMPRA,USD,C005,RETAIL,US,btc_planilha.xlsx,2025-08-13 20:41:28.738696+00:00
BTCX-00000136,2024-01-12 16:35:00+00:00,BTC,0.49,COMPRA,USD,C010,RETAIL,US,btc_planilha.xlsx,2025-08-13 20:41:28.738750+00:00
BTCX-00000137,2024-01-12 19:45:00+00:00,BTC,0.32,VENDA,USD,C004,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.738804+00:00
BTCX-00000138,2024-01-12 13:14:00+00:00,BTC,0.26,COMPRA,USD,C007,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.738860+00:00
BTCX-00000139,2024-01-12 18:23:00+00:00,BTC,0.31,VENDA,USD,C009,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.738917+00:00
BTCX-00000140,2024-01-12 17:21:00+00:00,BTC,0.23,VENDA,USD,C010,DISTRIB,US,btc_planilha.xlsx,2025-08-13 20:41:28.738970+00:00
BTCX-00000141,2024-01-12 13:14:00+00:00,BTC,0.08,COMPRA,USD,C004,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.739024+00:00
BTCX-00000142,2024-01-12 20:34:00+00:00,BTC,0.49,COMPRA,USD,C002,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.739077+00:00
BTCX-00000143,2024-01-15 13:46:00+00:00,BTC,0.38,VENDA,USD,C003,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.739142+00:00
BTCX-00000144,2024-01-15 13:14:00+00:00,BTC,0.24,COMPRA,USD,C008,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.739198+00:00
BTCX-00000145,2024-01-15 20:34:00+00:00,BTC,0.09,VENDA,USD,C002,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.739252+00:00
BTCX-00000146,2024-01-15 17:18:00+00:00,BTC,0.45,COMPRA,USD,C007,RETAIL,US,btc_planilha.xlsx,2025-08-13 20:41:28.739306+00:00
BTCX-00000147,2024-01-15 10:55:00+00:00,BTC,0.01,VENDA,USD,C004,DISTRIB,US,btc_planilha.xlsx,2025-08-13 20:41:28.739360+00:00
BTCX-00000148,2024-01-15 16:21:00+00:00,BTC,0.12,COMPRA,USD,C001,DISTRIB,US,btc_planilha.xlsx,2025-08-13 20:41:28.739417+00:00
BTCX-00000149,2024-01-15 10:52:00+00:00,BTC,0.05,VENDA,USD,C006,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.739471+00:00
BTCX-00000150,2024-01-15 18:40:00+00:00,BTC,0.44,COMPRA,USD,C006,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.739525+00:00
BTCX-00000151,2024-01-15 18:19:00+00:00,BTC,0.06,COMPRA,USD,C007,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.739582+00:00
BTCX-00000152,2024-01-15 15:38:00+00:00,BTC,0.39,COMPRA,USD,C010,RETAIL,US,btc_planilha.xlsx,2025-08-13 20:41:28.739640+00:00
BTCX-00000153,2024-01-15 16:58:00+00:00,BTC,0.29,VENDA,USD,C008,RETAIL,US,btc_planilha.xlsx,2025-08-13 20:41:28.739703+00:00
BTCX-00000154,2024-01-15 13:36:00+00:00,BTC,0.4,COMPRA,USD,C006,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.739766+00:00
BTCX-00000155,2024-01-15 10:48:00+00:00,BTC,0.14,COMPRA,USD,C009,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.739827+00:00
BTCX-00000156,2024-01-15 10:10:00+00:00,BTC,0.16,COMPRA,USD,C001,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.739891+00:00
BTCX-00000157,2024-01-15 11:00:00+00:00,BTC,0.27,VENDA,USD,C004,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.739952+00:00
BTCX-00000158,2024-01-16 13:02:00+00:00,BTC,0.15,VENDA,USD,C003,RETAIL,US,btc_planilha.xlsx,2025-08-13 20:41:28.740021+00:00
BTCX-00000159,2024-01-16 20:55:00+00:00,BTC,0.3,COMPRA,USD,C006,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.740083+00:00
BTCX-00000160,2024-01-16 13:50:00+00:00,BTC,0.41,COMPRA,USD,C010,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.740142+00:00
